Grammar0	0.308	0.9	0.956	0.1	0.688
Grammar5	0.345	0.847	0.885	0.153	0.681
Grammar6	0.317	0.898	0.957	0.102	0.7
Grammar3	0.292	0.918	0.959	0.082	0.74
Grammar4	0.281	0.908	0.949	0.092	0.76
Grammar15	0.372	0.856	0.935	0.144	0.652
Grammar14	0.288	0.898	0.94	0.102	0.753
Grammar13	0.298	0.902	0.955	0.098	0.716
Grammar12	0.273	0.927	0.974	0.073	0.757
Grammar19	0.349	0.867	0.934	0.133	0.691
Grammar18	0.354	0.863	0.948	0.137	0.626
Grammar17	0.319	0.877	0.925	0.123	0.706
Grammar16	0.275	0.913	0.947	0.087	0.762
Grammar11	0.32	0.9	0.942	0.1	0.707
Grammar10	0.348	0.87	0.921	0.13	0.683
Grammar9	0.297	0.898	0.951	0.102	0.692
Grammar7	0.386	0.826	0.9	0.174	0.642
Grammar24	0.314	0.868	0.912	0.132	0.675
Grammar8	0.313	0.895	0.935	0.105	0.721
Grammar23	0.349	0.865	0.939	0.136	0.62
Grammar22	0.397	0.841	0.927	0.159	0.573
Grammar21	0.344	0.861	0.919	0.139	0.661
Grammar20	0.311	0.898	0.947	0.102	0.709
Grammar1	0.3	0.915	0.967	0.085	0.747
Grammar2	0.329	0.873	0.919	0.128	0.695
Grammar0	0.308	0.9	0.956	0.1	0.688
Grammar5	0.345	0.847	0.885	0.153	0.681
Grammar6	0.317	0.898	0.957	0.102	0.7
Grammar3	0.292	0.918	0.959	0.082	0.74
Grammar4	0.281	0.908	0.949	0.092	0.76
Grammar15	0.372	0.856	0.935	0.144	0.652
