ADJ{affreux}, N{personnage.g=M num=SG}*	afʁøpɛʁsonaʒ	1	0
ADJ{ancien}, N{nom.g=M num=SG}*	&sj3nQ	1	0
ADJ{aucune}, N{formation.g=F num=SG}*	okynfɔʁmasjQ	1	0
ADJ{aucune}, N{perte.g=F num=SG}*	okynpɛʁt	1	0
ADJ{aucun}, N{complexe.g=M num=SG}*	ok3kQplɛks	1	0
ADJ{aucun}, N{excès.g=M num=PL}*	ok3ɛksɛ	1	0
ADJ{autre}, N{ami.g=F num=SG}*	otʁami	1	0
ADJ{autre}, N{banque.g=F num=SG}*	otʁb&k	1	0
ADJ{autre}, N{banque.g=F num=SG}*	otʁb&k	1	0
ADJ{autre}, N{banque.g=F num=SG}*	otʁb&k	1	0
ADJ{autre}, N{bout.g=M num=SG}*	otʁbu	1	0
ADJ{autre}, N{bricole.g=F num=PL}*	otʁbʁikɔl	1	0
ADJ{autre}, N{cadre.g=M num=SG}*	otʁkadʁ	1	0
ADJ{autre}, N{chose.g=F num=SG}*	otʁʃoz	1	0
ADJ{autre}, N{chose.g=F num=SG}*	otʁʃoz	1	0
ADJ{autre}, N{chose.g=F num=SG}*	otʁʃoz	1	0
ADJ{autre}, N{chose.g=F num=SG}*	otʁʃoz	1	0
ADJ{autre}, N{chose.g=F num=SG}*	otʁʃoz	1	0
ADJ{autre}, N{chose.g=F num=SG}*	otʁʃoz	1	0
ADJ{autre}, N{chose.g=F num=SG}*	otʁʃoz	1	0
ADJ{autre}, N{chose.g=F num=SG}*	otʁʃoz	1	0
ADJ{autre}, N{chose.g=F num=SG}*	otʁʃoz	1	0
ADJ{autre}, N{chose.g=F num=SG}*	otʁʃoz	1	0
ADJ{autre}, N{chose.g=F num=SG}*	otʁʃoz	1	0
ADJ{autre}, N{commune.g=F num=PL}*	otʁkomyn	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{côté.g=M num=SG}*	otʁkote	1	0
ADJ{autre}, N{dimension.g=F num=SG}*	otʁdim&sjQ	1	0
ADJ{autre}, N{enfant.g=M num=PL}*	otʁz&f&	1	1
ADJ{autre}, N{femme.g=F num=SG}*	otʁfam	1	0
ADJ{autre}, N{fleur.g=F num=SG}*	otʁflœʁ	1	0
ADJ{autre}, N{fois.g=F num=PL}*	otʁfwa	1	0
ADJ{autre}, N{fois.g=F num=PL}*	otʁfwa	1	0
ADJ{autre}, N{fonction.g=F num=SG}*	otʁfQksjQ	1	0
ADJ{autre}, N{génération.g=F num=SG}*	otʁʒeneʁasjQ	1	0
ADJ{autre}, N{jour.g=M num=PL}*	otʁʒuʁ	1	0
ADJ{autre}, N{jour.g=M num=SG}*	otʁʒuʁ	1	0
ADJ{autre}, N{jour.g=M num=SG}*	otʁʒuʁ	1	0
ADJ{autre}, N{jour.g=M num=SG}*	otʁʒuʁ	1	0
ADJ{autre}, N{jour.g=M num=SG}*	otʁʒuʁ	1	0
ADJ{autre}, N{jour.g=M num=SG}*	otʁʒuʁ	1	0
ADJ{autre}, N{machine.g=F num=SG}*	otʁmaʃin	1	0
ADJ{autre}, N{partie.g=F num=SG}*	otʁpaʁti	1	0
ADJ{autre}, N{pays.g=M num=PL}*	otʁpei	1	0
ADJ{autre}, N{personne.g=F num=PL}*	otʁpɛʁsɔn	1	0
ADJ{autre}, N{personne.g=F num=SG}*	otʁpɛʁsɔn	1	0
ADJ{autre}, N{personne.g=F num=SG}*	otʁpɛʁsɔn	1	0
ADJ{autre}, N{quartier.g=M num=SG}*	otʁkaʁtje	1	0
ADJ{autre}, N{résident.g=M num=PL}*	otʁʁezid&	1	0
ADJ{autre}, N{voie.g=F num=SG}*	otʁvwa	1	0
ADJ{beau}, N{cage.g=F num=SG}*	bɛlkaʒ	1	0
ADJ{beau}, N{chapeau.g=M num=SG}*	boʃapo	1	0
ADJ{beau}, N{chapeau.g=M num=SG}*	boʃapo	1	0
ADJ{beau}, N{chose.g=F num=PL}*	bɛlʃoz	1	0
ADJ{beau}, N{femme.g=F num=SG}*	bɛlfam	1	0
ADJ{beau}, N{fille.g=F num=PL}*	bɛlfij	1	0
ADJ{beau}, N{fille.g=F num=SG}*	bɛlfij	1	0
ADJ{beau}, N{fille.g=F num=SG}*	bɛlfij	1	0
ADJ{beau}, N{fille.g=F num=SG}*	bɛlfij	1	0
ADJ{beau}, N{fille.g=F num=SG}*	bɛlfij	1	0
ADJ{beau}, N{fille.g=F num=SG}*	bɛlfij	1	0
ADJ{beau}, N{fille.g=F num=SG}*	bɛlfij	1	0
ADJ{beau}, N{fête.g=F num=SG}*	bɛlfɛt	1	0
ADJ{beau}, N{journée.g=F num=PL}*	bɛlʒuʁne	1	0
ADJ{beau}, N{monde.g=M num=SG}*	bomQd	1	0
ADJ{beau}, N{monde.g=M num=SG}*	bomQd	1	0
ADJ{beau}, N{pays.g=M num=PL}*	bopei	1	0
ADJ{beau}, N{vallée.g=F num=PL}*	bɛlvale	1	0
ADJ{beau}, N{ville.g=F num=SG}*	bɛlvil	1	0
ADJ{beau}, N{visage.g=M num=SG}*	bovizaʒ	1	0
ADJ{beau}, N{visage.g=M num=SG}*	bovizaʒ	1	0
ADJ{beau}, N{voix.g=F num=SG}*	bɛlvwa	1	0
ADJ{bon}, N{affaire.g=F num=PL}*	bɔnafɛʁ	1	0
ADJ{bon}, N{ambiance.g=F num=SG}*	bɔn&bj&s	1	0
ADJ{bon}, N{ambiance.g=F num=SG}*	bɔn&bj&s	1	0
ADJ{bon}, N{ami.g=M num=PL}*	bQami	1	0
ADJ{bon}, N{boîte.g=F num=SG}*	bɔnbwat	1	0
ADJ{bon}, N{chocolat.g=M num=SG}*	bQʃokola	1	0
ADJ{bon}, N{chose.g=F num=SG}*	bɔnʃoz	1	0
ADJ{bon}, N{côté.g=M num=SG}*	bQkote	1	0
ADJ{bon}, N{côté.g=M num=SG}*	bQkote	1	0
ADJ{bon}, N{diplôme.g=M num=PL}*	bQdiplom	1	0
ADJ{bon}, N{endroit.g=M num=PL}*	bQ&dʁwa	1	0
ADJ{bon}, N{entraînement.g=M num=SG}*	bQ&tʁɛnœm&	1	0
ADJ{bon}, N{exemple.g=M num=SG}*	bQnɛgz&pl	1	1
ADJ{bon}, N{femme.g=F num=SG}*	bɔnfam	1	0
ADJ{bon}, N{heure.g=F num=SG}*	bɔnœʁ	1	0
ADJ{bon}, N{matériel.g=M num=SG}*	bQmateʁjɛl	1	0
ADJ{bon}, N{moyenne.g=F num=SG}*	bɔnmwajɛn	1	0
ADJ{bon}, N{niveau.g=M num=SG}*	bQnivo	1	0
ADJ{bon}, N{niveau.g=M num=SG}*	bQnivo	1	0
ADJ{bon}, N{niveau.g=M num=SG}*	bQnivo	1	0
ADJ{bon}, N{qualité.g=F num=SG}*	bɔnkalite	1	0
ADJ{bon}, N{question.g=F num=SG}*	bɔnkɛstjQ	1	0
ADJ{bon}, N{quinzaine.g=F num=SG}*	bɔnk3zɛn	1	0
ADJ{bon}, N{relation.g=F num=PL}*	bɔnʁølasjQ	1	0
ADJ{bon}, N{rendu.g=M num=SG}*	bQʁ&dy	1	0
ADJ{bon}, N{repas.g=M num=SG}*	bQʁœpa	1	0
ADJ{bon}, N{retraite.g=F num=SG}*	bɔnʁœtʁɛt	1	0
ADJ{bon}, N{revers.g=M num=SG}*	bQʁœvɛʁ	1	0
ADJ{bon}, N{sens.g=M num=SG}*	bQs&s	1	0
ADJ{bon}, N{sentiment.g=M num=PL}*	bQs&tim&	1	0
